gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
CHMP5	3.6686685381745794	4.996395855800084	1.3277273176255044	7.009171343414102e-05	0.0068157855502792575
AL354743.2	1.8835190204115055	0.5629491129021343	-1.320569907509371	7.021735562077698e-05	0.0068157855502792575
SNRPN	2.9946738641371295	3.9722407591768936	0.977566895039764	7.06013645466131e-05	0.006817101181806949
DUOXA2	2.780260650672104	0.9568953854217032	-1.8233652652504007	7.111279617900348e-05	0.006817101181806949
NDUFA2	1.705761415606652	3.4512470835439086	1.7454856679372566	7.122117446327792e-05	0.006817101181806949
GNB1	8.108528600680124	8.559597527381934	0.45106892670180976	7.148503285894238e-05	0.006817101181806949
SRSF8	2.871859580326714	3.990136810549758	1.1182772302230441	7.196483990153702e-05	0.0068328887073324
MRPL38	3.004218872452636	3.719409695690208	0.7151908232375717	7.271677523019262e-05	0.006849958950454336
AL121820.3	1.8589706200980007	0.9548180905351561	-0.9041525295628446	7.279747100692633e-05	0.006849958950454336
MTPN	5.418507231820361	6.488777930023539	1.0702706982031778	7.351922875435966e-05	0.006849958950454336
RASSF1	4.992397710966972	5.842384855442053	0.8499871444750813	7.367001233961971e-05	0.006849958950454336
RPS15A	2.8503882887146164	5.231033419710777	2.380645130996161	7.382041959826115e-05	0.006849958950454336
LYPLA2	3.163245919017471	4.701136035054245	1.537890116036774	7.403487804611916e-05	0.006849958950454336
COPRS	2.0020754183942624	4.113422995555905	2.111347577161643	7.741324573060333e-05	0.007046619857066305
ATP5F1D	1.9872180327428366	4.557359101608413	2.570141068865577	7.755950444669932e-05	0.007046619857066305
TMSB4X	6.299426524765664	8.908316571496524	2.60889004673086	7.757640576056419e-05	0.007046619857066305
AL590006.1	4.944917111332924	3.3412921861151665	-1.603624925217758	7.77231450176134e-05	0.007046619857066305
AC006452.1	1.137433494491289	0.4141699313146378	-0.7232635631766511	7.778083823280656e-05	0.007046619857066305
RAB3IL1	0.9725987649488964	2.8684269499112105	1.8958281849623142	7.838377178213188e-05	0.007065016611511097
EID1	2.6823082410820107	4.8642489847727965	2.181940743690786	7.86337681086182e-05	0.007065016611511097
COX6C	3.123292175253005	4.9830015225714765	1.8597093473184714	7.896663817660503e-05	0.007065726806065527
CHRFAM7A	0.5129490138412751	1.3213084707408427	0.8083594568995676	8.035963465081313e-05	0.0071572922738574124
KCTD11	1.2004000941243258	2.6134647850981225	1.4130646909737967	8.068523158878986e-05	0.0071572922738574124
SLBP	3.8034080683218656	5.24863991684549	1.4452318485236244	8.097750537501372e-05	0.0071572922738574124
MARS2	0.2883633377376978	1.3549875851392923	1.0666242474015946	8.145074201078803e-05	0.007169973617573135
AC046195.2	5.534230011055658	1.1952460573495463	-4.338983953706111	8.18189697548668e-05	0.007171123363414182
RPS7	3.172593818933933	5.999741915195922	2.827148096261989	8.239342627384029e-05	0.007171123363414182
AC022540.1	5.300026657182725	4.318622687992639	-0.9814039691900858	8.267367191666128e-05	0.007171123363414182
